"","feature_id","observed_EAF","mean_resampled_EAF","lower","upper","core","time","depth","time_f","cluster_gene","tax1","superkingdom","phylum","class","order","family","genus","species","color"
"1","WaterYear_AA3_D1_15109521",0.0120645183583813,0.0127125172684821,-0.00783300182978973,0.034366389284736,"June_0-10cm","June","0-10cm","June","WaterYear_AA5_D1_7988507_2","2026786","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Unclassified Rhodospirillales","Unclassified Rhodospirillales","Rhodospirillales bacterium","#ccccccc2"
"2","WaterYear_AA3_D1_3824507",0.0150117487822456,0.0153568737246432,-0.0146792090874658,0.0507720308872701,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_3824507_2","2026735","Bacteria","Unclassified Bacteria","Deltaproteobacteria","Unclassified Deltaproteobacteria","Unclassified Deltaproteobacteria","Unclassified Deltaproteobacteria","Deltaproteobacteria bacterium","#ccccccc2"
"3","WaterYear_AA3_D5_6118991",0.0902162885773497,0.0902836123237637,0.0585959671343065,0.125835720716475,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_26086697_3","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#B7B180"
"4","WaterYear_AA4_D1_10839782",0.131010152437709,0.131057681068514,0.084953875366772,0.175974068275681,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_14384997_26","2026799","Bacteria","Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Verrucomicrobiota bacterium","#B4FF00"
"5","WaterYear_AA4_D1_12434830",-0.00680572634118224,-0.00656928706879322,-0.0321855452491599,0.0167968977222535,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_5885414_12","1883427","Bacteria","Actinomycetota","Actinomycetes","Unclassified Actinomycetes","Unclassified Actinomycetes","Unclassified Actinomycetes","Actinomycetes bacterium","#ccccccc2"
"6","WaterYear_AA4_D1_14042153",0.0419841833086718,0.0419337747477697,-0.00560737499168129,0.093537502798777,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_22085164_6","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#ccccccc2"
"7","WaterYear_AA4_D1_15238674",0.0264647895990227,0.026283123779108,-0.00403932671067432,0.0568848649559569,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_15238674_10","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#ccccccc2"
"8","WaterYear_AA4_D1_1542998",0.0847435213505286,0.0852436774262222,0.0527468226387678,0.117775387755953,"June_0-10cm","June","0-10cm","June","WaterYear_AB4_D1_27880162_4","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#2444FF"
"9","WaterYear_AA4_D1_192024",0.0028269275514844,0.00351697861877349,-0.0345456467431997,0.0431905985341547,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_192024_32","2306968","Bacteria","Chloroflexota","Ktedonobacteria","Ktedonobacterales","Unclassified Ktedonobacterales","Unclassified Ktedonobacterales","Ktedonobacterales bacterium","#ccccccc2"
"10","WaterYear_AA4_D1_25291433",0.0505145695834923,0.0503205573654655,0.0204218057813995,0.0800181086043338,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_25291433_7","1978231","Bacteria","Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Acidobacteriota bacterium","#5EFFA1"
"11","WaterYear_AA4_D1_27160066",0.069423376961019,0.0691838139790988,0.00710126110265238,0.137218589869566,"June_0-10cm","June","0-10cm","June","WaterYear_HC8_D3_1196417_1","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#2444FF"
"12","WaterYear_AA4_D1_30231465",0.0454668850824941,0.0460351278229512,-0.0166511793552405,0.103277167616252,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_30231465_9","2250575","Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus sp. TF02-6","#ccccccc2"
"13","WaterYear_AA5_D1_1603307",0.0426505744018923,0.0426742488695301,0.0109248353714075,0.0739732382651018,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_4088546_9","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#B7B180"
"14","WaterYear_AA5_D1_21123215",0.0731484279875214,0.0733914699196634,0.0470239549035688,0.101771567621394,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_7156974_37","2026724","Bacteria","Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Chloroflexota bacterium","#E8861A"
