"","feature_id","observed_EAF","mean_resampled_EAF","lower","upper","core","time","depth","time_f","cluster_gene","tax1","superkingdom","phylum","class","order","family","genus","species","color"
"1","WaterYear_AA3_D1_12937934",0.0533965204710078,0.0540355318434805,0.024473030913814,0.0886863757176,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_12937934_23","1909295","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Unclassified Solirubrobacterales","Unclassified Solirubrobacterales","Solirubrobacterales bacterium","#2444FF"
"2","WaterYear_AA3_D1_14219971",0.016120694425412,0.0162013550123525,-0.0102516376220087,0.0394712122980907,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_14219971_25","1909295","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Unclassified Solirubrobacterales","Unclassified Solirubrobacterales","Solirubrobacterales bacterium","#ccccccc2"
"3","WaterYear_AA3_D1_15109521",0.0467739694854078,0.0471573507485866,0.0111217325884591,0.0907740832798774,"April_0-10cm","April","0-10cm","April","WaterYear_AA5_D1_7988507_2","2026786","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Unclassified Rhodospirillales","Unclassified Rhodospirillales","Rhodospirillales bacterium","#B7B180"
"4","WaterYear_AA3_D1_16818292",0.006408942821149,0.00549928083222864,-0.014053894090983,0.0257434522316876,"April_0-10cm","April","0-10cm","April","WaterYear_AC5_D1_19428411_5","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#ccccccc2"
"5","WaterYear_AA3_D1_22502912",0.00505875710714682,0.0066479406393946,-0.0464454415842601,0.062464781267974,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_22502912_22","1909295","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Unclassified Solirubrobacterales","Unclassified Solirubrobacterales","Solirubrobacterales bacterium","#ccccccc2"
"6","WaterYear_AA3_D1_2670571",0.082451320112515,0.0820350706042751,0.0474226960195187,0.118600520699373,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_2670571_22","2026724","Bacteria","Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Chloroflexota bacterium","#E8861A"
"7","WaterYear_AA3_D1_3824507",0.0644545948171799,0.0645338072032374,0.023757322807646,0.107653368881538,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_3824507_2","2026735","Bacteria","Unclassified Bacteria","Deltaproteobacteria","Unclassified Deltaproteobacteria","Unclassified Deltaproteobacteria","Unclassified Deltaproteobacteria","Deltaproteobacteria bacterium","#424242"
"8","WaterYear_AA3_D1_9027334",0.0911693273714558,0.0907955805446818,0.0571474231841207,0.124854381343605,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_9027334_28","56425","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium bohemicum","#2444FF"
"9","WaterYear_AA3_D1_9518985",0.00103341121934864,0.00123322745273516,-0.0422614532458754,0.0437044445028876,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_9518985_26","2026724","Bacteria","Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Chloroflexota bacterium","#ccccccc2"
"10","WaterYear_AA3_D3_17754184",0.011570548041253,0.0113632074807493,-0.0146179180155802,0.036700890224424,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D3_17754184_28","1803507","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium 13_2_20CM_2_64_7","#ccccccc2"
"11","WaterYear_AA3_D3_22070013",0.0529451914924261,0.0529670693103682,0.0207645596726798,0.0894656025277469,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D3_22070013_3","2026724","Bacteria","Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Chloroflexota bacterium","#E8861A"
"12","WaterYear_AA3_D5_16428573",-0.0317594254741173,-0.0317276651391106,-0.105351631970389,0.0355662518891247,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D3_5288937_7","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#ccccccc2"
"13","WaterYear_AA3_D5_6118991",0.0508443382107429,0.0505080396100937,0.0259906981195332,0.0738723897022337,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_26086697_3","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#B7B180"
"14","WaterYear_AA4_D1_12434830",0.00245964809716352,0.00196762016175447,-0.0301234593963596,0.0381415207548025,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_5885414_12","1883427","Bacteria","Actinomycetota","Actinomycetes","Unclassified Actinomycetes","Unclassified Actinomycetes","Unclassified Actinomycetes","Actinomycetes bacterium","#ccccccc2"
"15","WaterYear_AA4_D1_13107228",0.0496552648156007,0.0499914003937227,0.0213375066644838,0.0801486925849221,"April_0-10cm","April","0-10cm","April","WaterYear_AA4_D1_13107228_15","1909295","Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Unclassified Solirubrobacterales","Unclassified Solirubrobacterales","Solirubrobacterales bacterium","#2444FF"
"16","WaterYear_AA4_D1_13734407",0.0367015098326457,0.0365172254532468,0.0136063490456228,0.0601780940046555,"April_0-10cm","April","0-10cm","April","WaterYear_AA3_D1_25817695_9","2026724","Bacteria","Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Chloroflexota bacterium","#E8861A"
