"","feature_id","observed_EAF","mean_resampled_EAF","lower","upper","core","time","depth","time_f","cluster_gene","tax1","superkingdom","phylum","class","order","family","genus","species","color"
"1","WaterYear_AA3_D1_15109521",0.0137903277029606,0.0143298038411372,-0.00724622810458134,0.0367838427517044,"June_0-10cm","June","0-10cm","June","WaterYear_AA5_D1_7988507_2","2026786","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Unclassified Rhodospirillales","Unclassified Rhodospirillales","Rhodospirillales bacterium","#ccccccc2"
"2","WaterYear_AA3_D5_6118991",0.090158548437841,0.0902245864694692,0.05844179226901,0.125842750371115,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_26086697_3","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#B7B180"
"3","WaterYear_AA4_D1_10839782",0.130874551646084,0.130924875563624,0.0846558647568563,0.175842519946473,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_14384997_26","2026799","Bacteria","Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Verrucomicrobiota bacterium","#B4FF00"
"4","WaterYear_AA4_D1_12434830",-0.0102301402874143,-0.00985956808244358,-0.0352531468855321,0.0133531338481563,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_5885414_12","1883427","Bacteria","Actinomycetota","Actinomycetes","Unclassified Actinomycetes","Unclassified Actinomycetes","Unclassified Actinomycetes","Actinomycetes bacterium","#ccccccc2"
"5","WaterYear_AA4_D1_14042153",0.0403949519973504,0.0403601566150386,-0.0078364453896675,0.0929918289323267,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_22085164_6","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#ccccccc2"
"6","WaterYear_AA4_D1_15238674",0.0279742086361837,0.0277075989463762,-0.00264682822832717,0.0585618574372461,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_15238674_10","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#ccccccc2"
"7","WaterYear_AA4_D1_1542998",0.0960016483879285,0.0963636917312925,0.0666606342547908,0.126204082984862,"June_0-10cm","June","0-10cm","June","WaterYear_AB4_D1_27880162_4","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#2444FF"
"8","WaterYear_AA4_D1_192024",0.0133723699271428,0.0141259575265468,-0.017858808417782,0.048830371880543,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_192024_32","2306968","Bacteria","Chloroflexota","Ktedonobacteria","Ktedonobacterales","Unclassified Ktedonobacterales","Unclassified Ktedonobacterales","Ktedonobacterales bacterium","#ccccccc2"
"9","WaterYear_AA4_D1_25291433",0.0505203548368753,0.0503261750117644,0.0205257084645442,0.0799941336887871,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_25291433_7","1978231","Bacteria","Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Acidobacteriota bacterium","#5EFFA1"
"10","WaterYear_AA4_D1_27160066",0.0691733051064712,0.0689332412512488,0.00685704387039817,0.137064917723212,"June_0-10cm","June","0-10cm","June","WaterYear_HC8_D3_1196417_1","2900548","Bacteria","Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Unclassified Actinomycetota","Actinomycetota bacterium","#2444FF"
"11","WaterYear_AA4_D1_30231465",0.0489059113565379,0.0493202692768647,-0.0135568358884093,0.106881357361438,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_30231465_9","2250575","Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus sp. TF02-6","#ccccccc2"
"12","WaterYear_AA5_D1_1603307",0.043271628250565,0.043299388682236,0.012051522393473,0.074232034728143,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_4088546_9","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#B7B180"
"13","WaterYear_AA5_D1_21123215",0.079177351950303,0.0793881408105033,0.0538172596321739,0.107509722449999,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_7156974_37","2026724","Bacteria","Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Unclassified Chloroflexota","Chloroflexota bacterium","#E8861A"
"14","WaterYear_AA5_D1_2985487",0.0449638247444259,0.0449255076488718,-0.0202850035578112,0.102248192466533,"June_0-10cm","June","0-10cm","June","WaterYear_AA5_D1_2985487_4","2978347","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. CPCC 205710","#ccccccc2"
"15","WaterYear_AA5_D1_6183777",0.1602693169468,0.161748115279987,0.116303026143482,0.203387338293679,"June_0-10cm","June","0-10cm","June","WaterYear_AA4_D1_538290_1","2026799","Bacteria","Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Verrucomicrobiota bacterium","#B4FF00"
"16","WaterYear_AA7_D3_12490799",0.0909168251704143,0.0920385711924932,0.0280596462656925,0.155262244510256,"June_0-10cm","June","0-10cm","June","WaterYear_AA7_D3_12490799_3","2021371","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Unclassified Methylobacteriaceae","Methylobacteriaceae bacterium","#B7B180"
"17","WaterYear_AA7_D3_24796954",0.0179222824310673,0.0176493413918959,-0.00611369176062133,0.0439914753442619,"June_0-10cm","June","0-10cm","June","WaterYear_AC3_D1_16074690_3","1913988","Bacteria","Pseudomonadota","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Alphaproteobacteria bacterium","#ccccccc2"
"18","WaterYear_AA7_D3_639155",-0.0076571799282009,-0.00691075825319562,-0.0450990084563149,0.0352125711172273,"June_0-10cm","June","0-10cm","June","WaterYear_AA7_D3_639155_2","1564158","Bacteria","Actinomycetota","Actinomycetes","Geodermatophilales","Geodermatophilaceae","Geodermatophilus","Geodermatophilus sabuli","#ccccccc2"
"19","WaterYear_AA9_D1_11794295",0.106245718846668,0.106659323954458,0.0858155085994635,0.13081887600989,"June_0-10cm","June","0-10cm","June","WaterYear_AC7_D3_18712106_2","1978231","Bacteria","Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Unclassified Acidobacteriota","Acidobacteriota bacterium","#5EFFA1"
"20","WaterYear_AA9_D1_23798329",0.13960448081338,0.139771914640971,0.110679097537636,0.168671949219816,"June_0-10cm","June","0-10cm","June","WaterYear_AA3_D1_9612076_11","2026799","Bacteria","Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Unclassified Verrucomicrobiota","Verrucomicrobiota bacterium","#B4FF00"
