Phylum,Color
Acetothermia,#ED8324
Rif-ws3x,#54725A
Armatimonadetes,#7082B2
Armatimonadota,#7082B2
Candidatus Dormibacteraeota,#7466b3
Rokubacteria,#259FA5
Candidatus Rokubacteria,#259FA5
Melainabacteria,#67872d
Nitrospinae,#599CD8
Nitrospirota,#3a9aa1
Nc10,#C6601A
Brc1,#AEE5E2
Wallbacteria,#7F7869
Zixibacteria,#68a653
Ta06,#84D8C0
Hydrogenedentes,#EFE520
Wor-1,#20A0EF
Clostridia,#C9EDA9
Abawacabacteria,#EDD0A9
Schekmanbacteria,#79995F
OP3X,#9cc767
Bdellovibrio,#3e6641
DPANN,#cf351b
Berkelbacteria,#AEFF7D
Betaproteobacteria,#C9C65D
Alphaproteobacteria,#EFEF7F
Deltaproteobacteria,#AAA430
Gammaproteobacteria,#726C20
Microgenomates,#7be1e8
Omnitrophica,#43756b
Parcubacteria,#bed8eb
Peregrinibacteria,#c9bdfc
Acidobacteria,#5EFFA1
Acidobacteriota,#5EFFA1
Actinobacteria,#2444FF
Actinomycetota,#2444FF
Apicomplexa,#227000
Aquificae,#A8FFDA
Unknown_archaea,#b01f07
Archaeon,#FFFF92
Arthropoda,#227000
Ascomycota,#22700F
Bacillariophyta,#227000
Unknown_bacteria,#5687d1
Bacteroidetes,#FDE4A5
Bacteroidota,#FDE4A5
Basidiomycota,#227000
Caldiserica,#4D0057
Caldithrix,#AEFF7D
Chlamydiae,#F00000
Chlorobi,#3F9600
Chloroflexi,#E8861A
Chloroflexota,#E8861A
RIF-CHLX,#E8861A
Chlorophyta,#227000
Chordata,#227000
Chrysiogenetes,#000000
Chytridiomycota,#227000
Cnidaria,#227000
Crenarchaeota,#BFBF4F
Thermoproteota,#BFBF4F
Cyanobacteria,#4FFF00
Deferribacteres,#F7A541
Deinococcus-thermus,#F6CAF2
Dictyoglomi,#89AFFF
Echinodermata,#227000
Elusimicrobia,#7529FF
Euglenida,#227000
Eukaryota,#6ab975
Euryarchaeota,#a61c61
Fibrobacteres,#DBA9A8
Firmicutes,#687a6a
Bacillota,#687a6a
Fusobacteria,#B79EFF
Gemmatimonadetes,#EA15D6
Gemmatimonadota,#EA15D6
Glomeromycota,#227000
Ignavibacteria,#f7da05
Korarchaeota,#E3EC5F
Lentisphaerae,#227000
Metazoa,#C7A1A0
Microsporidia,#227000
Mollusca,#227000
Nanoarchaeota,#FEFF81
Nematoda,#227000
Nitrospirae,#6c84e6
Phaeophyceae,#227000
Placozoa,#227000
Planctomycetes,#4DB6FF
Planctomycetota,#4DB6FF
Platyhelminthes,#227000
Poribacteria,#227000
Porifera,#227000
Pseudomonadota,#B7B180
Proteobacteria,#B7B180
SM2F11,#aef5fc
Spirochaetes,#F36579
Streptophyta,#227000
Synergistetes,#C9FFBA
Tenericutes,#000084
Thaumarchaeota,#8ebf4f
Nitrososphaerota,#8ebf4f
Thermodesulfobacteria,#7D2726
Thermotogae,#6081FF
Saccharibacteria,#79C5D1
Candidatus Saccharibacteria,#79C5D1
Unknown,#fcfcfa
Verrucomicrobia,#B4FF00
Verrucomicrobiota,#B4FF00
Viruses,#785F43
Aenigmarchaeota,#6BC1BB
Altiarchaeota,#6BC1BB
Diapherotrites,#6BC1BB
Mamarchaeota,#6BC1BB
Micrarchaeota,#6BC1BB
Nanoarchaeota,#6BC1BB
Nanohaloarchaeota,#6BC1BB
Pacearchaeota,#6BC1BB
Parvarchaeota,#6BC1BB
Woesearchaeota,#6BC1BB
Bathyarchaeota,#BF6BA9
Candidatus Bathyarchaeota,#BF6BA9
unknown,#050505
Unc_Archaea,#eff0d8
PER-ii,#c9bdfc
RIF-IGX,#54a193
Gracilibacteria,#98e3e2
WOR-2,#8cdbb3
ACD39,#32ab82
Methanoperedens,#f00d05
Myxococcota,#bf5149
Candidatus Binatota,#998e3c
